sample_id	cell_type	count	total	relative_freq
33	nk_cell	15569	93131	0.1671731217317542
33	monocyte	11932	93131	0.12812060431005787
34	b_cell	8350	103870	0.08038894772311543
34	cd8_t_cell	26526	103870	0.2553769134495042
34	cd4_t_cell	36716	103870	0.353480311928372
34	nk_cell	10994	103870	0.10584384326562049
34	monocyte	21284	103870	0.2049099836333879
35	b_cell	5327	94622	0.056297689755025256
35	cd8_t_cell	28094	94622	0.29690769588467797
35	cd4_t_cell	38264	94622	0.404387985880662
35	nk_cell	7249	94622	0.07661009067658683
35	monocyte	15688	94622	0.16579653780304793
36	b_cell	8635	103532	0.0834041648958776
36	cd8_t_cell	29458	103532	0.2845303867403315
36	cd4_t_cell	31787	103532	0.3070258470810957
36	nk_cell	16498	103532	0.15935169802573118
36	monocyte	17154	103532	0.16568790325696403
37	b_cell	8915	92368	0.0965161094751429
37	cd8_t_cell	21012	92368	0.2274813788324961
37	cd4_t_cell	24564	92368	0.26593625498007967
37	nk_cell	14367	92368	0.15554087995842716
37	monocyte	23510	92368	0.25452537675385417
38	b_cell	12062	98897	0.12196527700536922
38	cd8_t_cell	18923	98897	0.19134048555567915
38	cd4_t_cell	33109	98897	0.33478265265882684
38	nk_cell	14376	98897	0.14536335783694146
38	monocyte	20427	98897	0.2065482269431833
39	b_cell	14634	107756	0.13580682282193102
39	cd8_t_cell	26888	107756	0.24952670848955047
39	cd4_t_cell	35553	107756	0.3299398641374958
39	nk_cell	11872	107756	0.11017483945209547
39	monocyte	18809	107756	0.1745517650989272
40	b_cell	11007	105943	0.10389549097156017
40	cd8_t_cell	25723	105943	0.24280037378590374
40	cd4_t_cell	25872	105943	0.24420679044391796
40	nk_cell	18325	105943	0.17297037085980196
40	monocyte	25016	105943	0.23612697393881615
41	b_cell	11583	91358	0.1267869261586287
41	cd8_t_cell	23517	91358	0.2574158803826704
41	cd4_t_cell	22586	91358	0.2472252019527573
41	nk_cell	14431	91358	0.15796098863810504
41	monocyte	19241	91358	0.21061100286783863
42	b_cell	12118	111631	0.10855407548082521
42	cd8_t_cell	22342	111631	0.20014153774489166
42	cd4_t_cell	41403	111631	0.3708915982119662
42	nk_cell	18660	111631	0.1671578683340649
42	monocyte	17108	111631	0.15325492022825202
43	b_cell	4750	104827	0.04531275339368674
43	cd8_t_cell	23553	104827	0.22468448014347447
43	cd4_t_cell	36392	104827	0.3471624676848522
43	nk_cell	15769	104827	0.15042880174000972
43	monocyte	24363	104827	0.23241149703797687
44	b_cell	15793	106034	0.14894279193466248
44	cd8_t_cell	25351	106034	0.23908369013712583
44	cd4_t_cell	37025	106034	0.3491804515532754
44	nk_cell	13972	106034	0.13176905520870663
44	monocyte	13893	106034	0.1310240111662297
45	b_cell	13792	104473	0.13201497037512083
45	cd8_t_cell	26314	104473	0.25187368985288067
45	cd4_t_cell	33714	104473	0.3227053879949843
45	nk_cell	17105	104473	0.16372651307036268
45	monocyte	13548	104473	0.12967943870665147
46	b_cell	7726	105731	0.07307223047166866
46	cd8_t_cell	25456	105731	0.24076193358617623
46	cd4_t_cell	29221	105731	0.27637116834230263
46	nk_cell	17901	105731	0.16930701497195713
46	monocyte	25427	105731	0.24048765262789532
47	b_cell	8249	93338	0.08837772397094432
47	cd8_t_cell	20566	93338	0.22033898305084745
47	cd4_t_cell	37597	93338	0.40280485975701213
47	nk_cell	11057	93338	0.11846193404615483
47	monocyte	15869	93338	0.17001649917504125
48	b_cell	13648	105178	0.12976097663009376
48	cd8_t_cell	32565	105178	0.30961798094658577
48	cd4_t_cell	31150	105178	0.2961645971591017
48	nk_cell	10330	105178	0.09821445549449505
48	monocyte	17485	105178	0.1662419897697237
49	b_cell	11419	104513	0.10925913522719662
49	cd8_t_cell	20811	104513	0.1991235540076354
49	cd4_t_cell	29883	104513	0.2859261527274119
49	nk_cell	21731	104513	0.20792628668203955
49	monocyte	20669	104513	0.19776487135571652
50	b_cell	14113	106504	0.13251145496882746
50	cd8_t_cell	32701	106504	0.30704011116953356
50	cd4_t_cell	32832	106504	0.30827011192067905
50	nk_cell	13959	106504	0.13106549988732819
50	monocyte	12899	106504	0.12111282205363179
51	b_cell	9765	88918	0.10982028385703682
51	cd8_t_cell	21622	88918	0.24316786252502307
51	cd4_t_cell	25644	88918	0.28840054882026134
51	nk_cell	12678	88918	0.14258080478643245
51	monocyte	19209	88918	0.21603050001124632
52	b_cell	11122	95942	0.11592420420670822
52	cd8_t_cell	30718	95942	0.32017260428175354
52	cd4_t_cell	21886	95942	0.22811698734652186
52	nk_cell	11639	95942	0.12131287652956994
52	monocyte	20577	95942	0.2144733276354464
53	b_cell	11822	99135	0.11925152569728148
53	cd8_t_cell	26750	99135	0.269834064659303
53	cd4_t_cell	30587	99135	0.3085388611489383
53	nk_cell	7432	99135	0.07496847732889494
53	monocyte	22544	99135	0.2274070711655823
54	b_cell	7782	99486	0.07822206139557325
54	cd8_t_cell	26235	99486	0.2637054459924009
54	cd4_t_cell	26399	99486	0.2653539191444022
54	nk_cell	18328	99486	0.18422692640170477
54	monocyte	20742	99486	0.20849164706591883
55	b_cell	11645	101344	0.11490566782443953
55	cd8_t_cell	23172	101344	0.22864698452794444
55	cd4_t_cell	34912	101344	0.34449005367856017
55	nk_cell	15392	101344	0.1518787496053047
55	monocyte	16223	101344	0.16007854436375119
56	b_cell	11022	92361	0.11933608341182966
56	cd8_t_cell	18780	92361	0.20333257543768474
56	cd4_t_cell	24674	92361	0.2671473890494906
56	nk_cell	17791	92361	0.1926245926310889
56	monocyte	20094	92361	0.21755935946990612
57	b_cell	15157	111127	0.1363934957301106
57	cd8_t_cell	19991	111127	0.1798932752616376
57	cd4_t_cell	40906	111127	0.36810136150530476
57	nk_cell	11254	111127	0.10127151817290128
57	monocyte	23819	111127	0.2143403493300458
58	b_cell	10510	93201	0.11276703039666956
58	cd8_t_cell	20389	93201	0.21876374717009475
58	cd4_t_cell	28561	93201	0.30644520981534534
58	nk_cell	16299	93201	0.17488009785302733
58	monocyte	17442	93201	0.18714391476486303
59	b_cell	17545	108944	0.16104604200323103
59	cd8_t_cell	24675	108944	0.22649250991335
59	cd4_t_cell	33022	108944	0.3031098546042003
59	nk_cell	14244	108944	0.13074607137611985
59	monocyte	19458	108944	0.17860552210309885
60	b_cell	11035	103534	0.10658334460177334
60	cd8_t_cell	21406	103534	0.2067533370680163
60	cd4_t_cell	38817	103534	0.3749203160314486
60	nk_cell	14559	103534	0.14062047250178686
60	monocyte	17717	103534	0.1711225297969749
61	b_cell	4508	111970	0.040260784138608556
61	cd8_t_cell	34867	111970	0.3113959096186478
61	cd4_t_cell	38281	111970	0.34188621952308657
61	nk_cell	16013	111970	0.14301152094310976
61	monocyte	18301	111970	0.16344556577654729
62	b_cell	10066	95286	0.10563986314883614
62	cd8_t_cell	20104	95286	0.21098587410532502
62	cd4_t_cell	21554	95286	0.22620321978045044
62	nk_cell	17505	95286	0.18371009382280712
62	monocyte	26057	95286	0.2734609491425813
63	b_cell	7236	93940	0.07702789014264425
63	cd8_t_cell	32409	93940	0.3449968064722163
63	cd4_t_cell	29335	93940	0.3122737917819885
63	nk_cell	10459	93940	0.1113370236321056
63	monocyte	14501	93940	0.15436448797104535
64	b_cell	10199	109577	0.09307610173667832
64	cd8_t_cell	24842	109577	0.22670815955903154
64	cd4_t_cell	33535	109577	0.30604050120006937
64	nk_cell	16300	109577	0.1487538443286456
64	monocyte	24701	109577	0.22542139317557516
65	b_cell	8425	92559	0.09102302315279984
65	cd8_t_cell	28293	92559	0.3056752989984767
65	cd4_t_cell	24750	92559	0.26739701163582147
65	nk_cell	12096	92559	0.13068421223219784
65	monocyte	18995	92559	0.2052204539807042
66	b_cell	8052	107284	0.07505313001006673
66	cd8_t_cell	35323	107284	0.3292476044890198
66	cd4_t_cell	37350	107284	0.3481413817531039
66	nk_cell	13927	107284	0.12981432459639836
66	monocyte	12632	107284	0.11774355915141121
67	b_cell	11874	107589	0.11036444246158994
67	cd8_t_cell	24116	107589	0.2241493089442229
67	cd4_t_cell	29460	107589	0.2738198142932828
67	nk_cell	21402	107589	0.19892368178903047
67	monocyte	20737	107589	0.1927427525118739
68	b_cell	10501	110245	0.0952514853281328
68	cd8_t_cell	33801	110245	0.3065989387273799
68	cd4_t_cell	35458	110245	0.3216290988253436
68	nk_cell	7397	110245	0.0670960134246451
68	monocyte	23088	110245	0.20942446369449863
69	b_cell	11742	110094	0.10665431358657147
69	cd8_t_cell	30825	110094	0.27998801024578995
69	cd4_t_cell	35087	110094	0.31870038330880884
69	nk_cell	12904	110094	0.11720893055025705
69	monocyte	19536	110094	0.17744836230857267
70	b_cell	9131	97532	0.09362055530492557
70	cd8_t_cell	21272	97532	0.2181027765246278
70	cd4_t_cell	31460	97532	0.32256080055776565
70	nk_cell	15908	97532	0.16310544231636795
70	monocyte	19761	97532	0.202610425296313
71	b_cell	5029	96197	0.05227813757185775
71	cd8_t_cell	19587	96197	0.20361341829786792
71	cd4_t_cell	36013	96197	0.37436718400781727
71	nk_cell	19596	96197	0.2037069763090325
71	monocyte	15972	96197	0.16603428381342453
72	b_cell	8730	93613	0.09325627850832684
72	cd8_t_cell	26500	93613	0.28308034140557403
72	cd4_t_cell	22481	93613	0.2401482700052343
72	nk_cell	16601	93613	0.17733648104429942
72	monocyte	19301	93613	0.20617862903656545
73	b_cell	10426	104898	0.09939179011992602
73	cd8_t_cell	28944	104898	0.27592518446490877
73	cd4_t_cell	26510	104898	0.25272169154797997
73	nk_cell	19451	104898	0.1854277488607981
73	monocyte	19567	104898	0.18653358500638717
74	b_cell	13166	92232	0.14274872061757307
74	cd8_t_cell	18608	92232	0.20175210339144764
74	cd4_t_cell	33699	92232	0.3653721051262035
74	nk_cell	15559	92232	0.16869416254662156
74	monocyte	11200	92232	0.12143290831815422
75	b_cell	14480	104711	0.13828537593949058
75	cd8_t_cell	26460	104711	0.25269551432036746
75	cd4_t_cell	33149	104711	0.3165760999321943
75	nk_cell	14983	104711	0.14308907373628368
75	monocyte	15639	104711	0.14935393607166392
76	b_cell	12385	110097	0.1124917118540923
76	cd8_t_cell	23764	110097	0.2158460266855591
76	cd4_t_cell	37340	110097	0.339155471992879
76	nk_cell	15701	110097	0.14261060701018194
76	monocyte	20907	110097	0.18989618245728768
77	b_cell	9602	105432	0.09107291903786327
77	cd8_t_cell	18744	105432	0.17778283633052583
77	cd4_t_cell	42528	105432	0.40336899613020716
77	nk_cell	16602	105432	0.15746642385613477
77	monocyte	17956	105432	0.17030882464526897
78	b_cell	5623	107869	0.05212804420176325
78	cd8_t_cell	32983	107869	0.3057690346624146
78	cd4_t_cell	26856	107869	0.24896865642584987
78	nk_cell	18744	107869	0.1737663276752357
78	monocyte	23663	107869	0.2193679370347366
79	b_cell	5792	99165	0.05840770433116523
79	cd8_t_cell	32012	99165	0.32281550950436144
79	cd4_t_cell	32123	99165	0.3239348560480008
79	nk_cell	10792	99165	0.10882871981041699
79	monocyte	18446	99165	0.18601321030605555
80	b_cell	5519	95727	0.05765353557512509
80	cd8_t_cell	22834	95727	0.2385324934449006
80	cd4_t_cell	31007	95727	0.3239107043989679
80	nk_cell	17450	95727	0.1822892182978679
80	monocyte	18917	95727	0.1976140482831385
81	b_cell	9595	93286	0.10285573397937525
81	cd8_t_cell	18940	93286	0.20303153742255
81	cd4_t_cell	31245	93286	0.3349377184143387
81	nk_cell	14582	93286	0.15631498831550286
81	monocyte	18924	93286	0.20286002186823318
82	b_cell	6068	103389	0.05869096325527861
82	cd8_t_cell	31190	103389	0.30167619379237637
82	cd4_t_cell	30549	103389	0.2954763079244407
82	nk_cell	17900	103389	0.1731325382777665
82	monocyte	17682	103389	0.17102399675013782
83	b_cell	7306	88242	0.08279504091022416
83	cd8_t_cell	23204	88242	0.26295868180684934
83	cd4_t_cell	23762	88242	0.269282201219374
83	nk_cell	16442	88242	0.18632850570023346
83	monocyte	17528	88242	0.19863557036331905
84	b_cell	10469	100815	0.10384367405644002
84	cd8_t_cell	24997	100815	0.24794921390666072
84	cd4_t_cell	28340	100815	0.28110896196002577
84	nk_cell	18128	100815	0.17981451172940535
84	monocyte	18881	100815	0.18728363834746814
85	b_cell	13770	102542	0.13428643872754578
85	cd8_t_cell	32384	102542	0.3158120574983909
85	cd4_t_cell	26218	102542	0.25568059916912095
85	nk_cell	17263	102542	0.16835052953911567
85	monocyte	12907	102542	0.12587037506582668
86	b_cell	12479	105610	0.11816115898115709
86	cd8_t_cell	18340	105610	0.17365779755704952
86	cd4_t_cell	31475	105610	0.29803048953697564
86	nk_cell	26652	105610	0.2523624656755989
86	monocyte	16664	105610	0.15778808824921883
87	b_cell	5686	91946	0.06184064559632828
87	cd8_t_cell	21892	91946	0.23809627389989776
87	cd4_t_cell	26848	91946	0.29199747677984905
87	nk_cell	12424	91946	0.1351227894633807
87	monocyte	25096	91946	0.27294281426054423
88	b_cell	6883	101732	0.06765816065741359
88	cd8_t_cell	23831	101732	0.2342527424999017
88	cd4_t_cell	31277	101732	0.30744505170447844
88	nk_cell	18993	101732	0.18669641803955492
88	monocyte	20748	101732	0.20394762709865136
89	b_cell	14432	107271	0.13453775950629712
89	cd8_t_cell	23729	107271	0.22120610416608402
89	cd4_t_cell	31757	107271	0.29604459732826205
89	nk_cell	15290	107271	0.14253619337938492
89	monocyte	22063	107271	0.20567534561997183
90	b_cell	13492	102290	0.13189950141753837
90	cd8_t_cell	20490	102290	0.20031283605435526
90	cd4_t_cell	26759	102290	0.26159937432789127
90	nk_cell	18101	102290	0.17695766937139507
90	monocyte	23448	102290	0.22923061882882
91	b_cell	4652	102598	0.04534201446421957
91	cd8_t_cell	30489	102598	0.29716953546852765
91	cd4_t_cell	33782	102598	0.3292656776935223
91	nk_cell	17885	102598	0.17432113686426637
91	monocyte	15790	102598	0.15390163550946412
92	b_cell	7510	113429	0.06620881785081417
92	cd8_t_cell	22955	113429	0.2023732907810172
92	cd4_t_cell	37137	113429	0.3274030450766559
92	nk_cell	22559	113429	0.19888212009274525
92	monocyte	23268	113429	0.20513272619876752
93	b_cell	8676	109064	0.07954962224015256
93	cd8_t_cell	22893	109064	0.20990427638817574
93	cd4_t_cell	33280	109064	0.30514193501063597
93	nk_cell	27470	109064	0.25187046138047386
93	monocyte	16745	109064	0.15353370498056187
94	b_cell	13462	102270	0.13163195462990124
94	cd8_t_cell	19888	102270	0.19446563019458296
94	cd4_t_cell	23802	102270	0.23273687298327955
94	nk_cell	19233	102270	0.18806101496039895
94	monocyte	25885	102270	0.2531045272318373
95	b_cell	4896	93081	0.05259934895413672
95	cd8_t_cell	29022	93081	0.31179295452347955
95	cd4_t_cell	17746	93081	0.19065115329659113
95	nk_cell	13579	93081	0.14588369269775786
95	monocyte	27838	93081	0.29907285052803473
96	b_cell	8717	108158	0.08059505538194123
96	cd8_t_cell	29369	108158	0.2715379352428854
96	cd4_t_cell	31047	108158	0.28705227537491446
96	nk_cell	13509	108158	0.1249006083692376
96	monocyte	25516	108158	0.2359141256310213
97	b_cell	11469	100776	0.11380685877589902
97	cd8_t_cell	25912	100776	0.2571247122330714
97	cd4_t_cell	25644	100776	0.2544653488925935
97	nk_cell	11004	100776	0.1091926649202191
97	monocyte	26747	100776	0.26541041517821706
98	b_cell	10482	105304	0.09954037833320671
98	cd8_t_cell	25543	105304	0.24256438501861277
98	cd4_t_cell	31326	105304	0.29748157714806656
98	nk_cell	14459	105304	0.13730722479677884
98	monocyte	23494	105304	0.2231064347033351
99	b_cell	12589	107859	0.1167171955979566
99	cd8_t_cell	30282	107859	0.28075543070119324
99	cd4_t_cell	30346	107859	0.2813487979677171
99	nk_cell	18392	107859	0.17051891821730222
99	monocyte	16250	107859	0.15065965751583085
